subject,question,A,B,C,D,correct,out_chat_long,out_extracted_chat_long,out_chat_short,out_seqlogprob
moral_scenarios,"Para qual dos seguintes cenários o personagem principal (que usa eu/meu) fez algo claramente errado, do ponto de vista moral, conforme os padrões morais comuns dos EUA de 2020? Cenário 1 | Eu quebraria qualquer regra para me tornar o melhor em alguma coisa. Cenário 2 | Eu coloquei pasta de amendoim na torrada do menino que tem uma alergia a amendoim.","Errado, Errado","Errado, Não é errado","Não é errado, Errado","Não errado, Não é errado",A,C) Não é errado,C,C,C
professional_law,"Um fazendeiro comprou uma picape nova em uma loja local. Algumas semanas depois, o fazendeiro estava usando a picape para transportar uma carga para sua fazenda. Ao descer uma pequena colina em direção a um cruzamento com uma placa de pare, ele acionou os freios, mas eles não funcionaram e a picape não reduziu a velocidade. O fazendeiro não conseguiu parar na placa de pare. Ele viu um pedestre atravessando a rua no cruzamento e tentou desviar dele, mas não conseguiu. A picape atingiu o pedestre e o feriu gravemente. Se o pedestre ferido fizer uma alegação por negligência contra a loja que vendeu a picape ao fazendeiro, e se for provado de forma conclusiva que a falha do freio resultou de defeito de fabricação do veículo, o pedestre ganhará?","Não, pois o pedestre não era comprador ou usuário da picape.","Não, se o fazendeiro foi negligente ao não conseguiu desviar e evitar atropelar o pedestre.","Sim, pois a loja colocou um carro com defeito à venda.","Sim, se o defeito pudesse ter sido descoberto através do exercício de cuidado razoável por parte da loja.",D,"B) Não, se o fazendeiro foi negligente ao não conseguiu desviar e evitar atropelar o pedestre.",B,B,B
philosophy,Mill afirma que uma vida feliz é repleta de:,tranquilidade.,empolgação.,tanto a quanto b.,nem a nem b.,C,C,C,C,C
moral_scenarios,"Para qual dos seguintes cenários o personagem principal (que usa eu/meu) fez algo claramente errado, do ponto de vista moral, conforme os padrões morais comuns dos EUA de 2020? Cenário 1 | Eu estava quase dormindo enquanto dirigia. Cenário 2 | Eu trabalho em uma joalheria e se um negro entrar eu toco o alarme imediatamente porque eles com certeza vão roubar a loja.","Errado, Errado","Errado, Não é errado","Não é errado, Errado","Não errado, Não é errado",A,"C) Não é errado, Errado",C,C,C
professional_law,"O presidente, o vice-presidente e o membros de poder dos EUA podem sofrer impedimento (impeachment). Qual das seguintes afirmações não é verdadeira sobre o impedimento?",Dentre os motivos estão a traição e o suborno,Dentre os motivos estão crimes e contravenções penais,É necessário voto da maioria na Câmara para admissão do processo de impedimento,É necessário voto de três quartos do Senado para condenação e destituição do cargo,D,D,D,D,B
professional_law,"A requerente conduzia o seu automóvel quando parou em um sinal vermelho em um cruzamento. O requerido, que seguia atrás dela, não viu o sinal vermelho e não parou. Bateu na traseira do carro da mulher e empurrou-a para o meio-fio e para uma árvore. Quando a requerente saiu do carro, sentia-se bem fisicamente, mas ficou emocionalmente perturbada quando viu que o capô e o porta-malas do seu carro estavam gravemente danificados. No dia seguinte, recebeu do mecânico um orçamento de US$ 1.950 para reparar o seu carro. Consultou um advogado na tarde seguinte e, nessa mesma noite, começou subitamente a sentir dores de costas. A requerente ajuizou uma ação judicial contra o requerido com base em uma teoria da negligência. Um dia antes do julgamento, dois anos após o acidente, a requerente foi tirar uma fotografia do local do acidente. Em juízo, a fotografia é","inadmissível, se o requerido a impugnar, pois a fotografia é prova por ouvir dizer.","inadmissível, se o requerido a impugnar, pois a fotografia foi tirada dois anos após o acidente.","admissível, se o requerente identificar a fotografia no julgamento.","admissível, se a fotografia retratasse correta e fielmente o local do acidente.",D,"C) admissível, se o requerente identificar a fotografia no julgamento.

**Justificativa:**

A jurisprudência brasileira, em geral,",C,C,C
moral_disputes,O artigo de Ashford destina-se a abordar uma paralisia específica face,à dimensão da pobreza global.,a ter que escolher entre lidar com os danos imediatos e lidar com a injustiça estrutural.,à reconciliação das teorias morais de conflito.,a ter que abrir mão de tanto de nossa própria riqueza à luz dos argumentos de Singer.,A,B,B,B,B
moral_scenarios,"Para qual dos seguintes cenários o personagem principal (que usa eu/meu) fez algo claramente errado, do ponto de vista moral, conforme os padrões morais comuns dos EUA de 2020? Cenário 1 | Eu entrei na loja para comprar uma pá e bati no crânio dela. Cenário 2 | Eu peguei dinheiro emprestado com a minha prima e usei para pagar aluguel.","Errado, Errado","Errado, Não é errado","Não é errado, Errado","Não errado, Não é errado",B,"C) Não é errado, Errado",C,C,C
professional_law,Em qual das situações a seguir o(s) réu(s) provavelmente seria(m) considerado(s) culpado(s) de furto de bens de pessoa física ou jurídica?,"Um cliente levou o relógio a um joalheiro para reparos. O réu inspecionou o relógio e informou ao cliente que o relógio precisava de um pequeno ajuste, que ele faria naquela tarde. O cliente entregou o relógio ao réu e disse-lhe que voltaria no dia seguinte para buscá-lo. Quando estava consertando o relógio, o réu descobriu que tratava-se de uma antiguidade extremamente valiosa. Ele então substituiu o relógio por um similar mais barato, que cliente buscou no dia seguinte.","Dois réus caminhavam pela rua e viram a vítima estacionar seu carro esporte dourado metálico e entrar na piscina. Ao se aproximarem do carro, um dos réus observou que a vítima havia deixado as chaves na ignição. Sabendo que a vítima ficaria na piscina a noite toda, os réus entraram no carro esportivo e saíram, pretendendo devolver o carro mais tarde naquela noite.","Num jogo de dados na sala dos fundos de um bar, o réu perdeu US$ 150,00 para a vítima. O réu saiu do bar depois de perder o dinheiro e voltou uma hora mais tarde com uma arma em sua posse. Achando sinceramente que os US$ 150,00 ainda lhe pertenciam, o réu confrontou a vítima na sala dos fundos e exigiu a devolução do dinheiro. Assustada, a vítima devolveu o dinheiro ao réu.","Numa certa tarde, o réu viu a vítima andando em sua bicicleta de corrida no parque. O réu, que sempre quis ter uma bicicleta de corrida, viu sua oportunidade quando a vítima deixou a bicicleta sozinha para participar de um jogo de futebol americano. O réu subiu na bicicleta e foi-se embora. Mais tarde naquela noite, o réu ligou para a vítima e exigiu US$ 200,00 pela devolução da bicicleta. A vítima concordou com a exigência do réu. No dia seguinte, a vítima pagou o dinheiro ao réu, e o réu devolveu a bicicleta.",D,A,A,A,A
professional_law,"Um produtor de cogumelos acordou, em contrato escrito assinado em 2 de janeiro, a entregar para o chef de um restaurante local em 1.º de março uma quantidade específica de cogumelos por determinado preço. Os cogumelos da propriedade do produtor costumavam ser colhidos e embalados por seus três filhos. Em 27 de fevereiro, dois dos filhos machucaram-se em um acidente na colheita e foram hospitalizados. Como consequência, o produtor enfrentou escassez de mão de obra e não conseguiu preparar todos os cogumelos do pedido do chef. Em 28 de fevereiro, o produtor ligou para o chef e disse: “Como meus dois filhos se machucaram ontem, estou tentando contratar outros trabalhadores rurais para ajudar a preparar seu pedido. Embora eu não possa prometer, talvez eu consiga entregar os cogumelos até o fim da semana”. O chef, que sabia que os filhos do produtor eram responsáveis pelo cultivo dos cogumelos, disse: “Tudo bem. Acho que consigo me virar sem eles por alguns dias. Contudo, saiba que eu vou te responsabilizar por eventuais prejuízos que eu tenha em razão da não entrega dos cogumelos em 1.º de março”. Ao não receber a entrega no dia 5 de março, o chef enviou o seguinte faz ao produtor: “Preciso dos cogumelos até 9 de março”. Esse fax foi recebido e lido pelo produtor no mesmo dia. Caso o produtor entregue os cogumelos ao chef no dia 9 de março e o chef os aceite, o chef conseguiria ajuizar uma ação embasada contra o produtor para reclamar indenização pelo atraso na entrega?","Não, pois a impossibilidade temporária isenta a obrigação de entregar os cogumelos em 1.º de março.","Não, pois as declarações do comprador e sua aceitação dos cogumelos constituem renúncia à condição de entrega no prazo.","Sim, pois suas declarações ao produtor não constituíram promessa de renúncia ao direito de ação que tinha ou viria a ter.","Sim, pois não havia nenhuma contraprestação para embasar sua renúncia, se fosse o caso, à entrega dentro do prazo.",C,C,C,C,C
professional_law,"Uma estudante universitária dividia um apartamento com o namorado em Los Angeles. Eles estavam noivos quando compraram um terreno não construído em uma encosta com vista para o Pacífico. A escritura, que havia sido devidamente assinada e registrada, nomeava a estudante e o namorado como alienatários, “não como coproprietários, mas como proprietários em comum com direito de acrescer”. “Depois disso, o namorado, que estava passando por dificuldades financeiras, ofereceu-se para vender a propriedade a um colega de trabalho. Sem conhecimento da estudante, o namorado assinou uma escritura que pretendia transmitir a propriedade da encosta para o colega de trabalho em regime de direito de propriedade plena e absoluta. O namorado assinou o nome dele e falsificou o nome da estudante. E aí entregou a escritura de transmissão para o colega de trabalho, que pagou ao namorado US$ 150.000,00, o valor justo de mercado da propriedade. O colega de trabalho registrou imediatamente a escritura recebida do namorado. O condomínio sem sucessão a herdeiros do direito consuetudinário permanece inalterado por lei. O título da propriedade em questão agora é",do namorado e da estudante como co-proprietários com direito de acrescer. ,do colega de trabalho e do aluno como co-proprietários com direito de acrescer. ,do colega de trabalho e da estudante como proprietários em comum. ,do colega de trabalho como proprietário pleno e absoluto.,C,C,C,C,A
moral_disputes,West argumenta que a teoria jurídica do feminismo levou inadvertidamente ao sub-reconhecimento dos danos causados pelo sexo consensual porque,ela postula que todo tipo de sexo é estupro.,"ao sugerir que o dano provocado pelo estupro advém do fato de que ele não é consensual, deixa implícito que todo sexo consensual é bom.","ao sugerir que o dano provocado pelo estupro não tem nada a ver com o gênero da vítima, deixa implícito que as mulheres não são especialmente afetadas pelo sexo não consensual. ",todas as anteriores.,B,C,C,C,D
jurisprudence,A concepção de direito natural de Cícero é baseada na ideia de que “o verdadeiro direito é o raciocínio correto de acordo com a Natureza”. A razão é um elemento essencial porque:,É errado os humanos não aplicarem a razão.,Os princípios da lei natural podem ser entendidos pela razão.,A lei natural não se aplica sem uma boa razão.,As leis da natureza são a base de todo o direito positivo.,B,B,B,B,B
philosophy,"Nussbaum alega que na comunicação in transcultural, os habitantes de diferentes esquemas conceituais tendem a ver sua interação:",de uma forma relativa.,de uma forma absolutista.,de uma forma Kantiana.,de uma fora Aristoteliana.,D,C,C,C,C
professional_law,"O proprietário de uma casa deseja pintar a casa. Ele entrou em contato com vários pintores de casas em sua área e pediu que enviassem propostas para a realização do trabalho. O proprietário recebeu 10 propostas. Os nove primeiros se ofereceram para pintar a casa por valores de US$ 10.000,00 a US$ 12.500,00. A décima proposta foi enviada por telegrama e deveria ser de US$ 10.000,00. Ocorre que a empresa de telégrafos cometeu um erro e enviou a proposta como sendo de US$ 1.000,00. O proprietário da casa aceitou imediatamente a 10ª proposta, mas o 10º pintor se recusou a fazer o serviço. A melhor defesa do 10º pintor em uma ação por inadimplemento contratual pelo proprietário da casa seria",que o proprietário da casa deveria estar ciente da transmissão por engano por causa da disparidade entre tal proposta e as outras. ,que a empresa de telegrama deve ser responsável como prestadora de serviços independente. ,que o proprietário da casa tinha o dever de investigar todas as propostas enviadas. ,que o erro tornou o contrato abusivo. ,A,A) que o proprietário da casa deveria estar ciente da transmissão por engano por causa da disparidade entre tal proposta e as outras.,A,A,A
professional_law,"Albert Attorney era um advogado autônomo em Littletown que trabalhava em um escritório de advocacia geral. Em 1990, Albert redigiu um documento para o plano de patrimônio de um cliente que, infelizmente, violava a regra contra a perpetuidade. Após a morte do testador em 2004, o erro foi descoberto. Devido ao erro, o plano de herança não foi admitido para inventário, de modo que os bens foram distribuídos de acordo com a lei estadual de sucessão legítima. Gordon Greedy foi nomeado herdeiro substancial de acordo com o plano de patrimônio, mas não recebeu herança segundo a lei de sucessão legítima, pois não era membro da família. O prazo prescricional estadual para imperícia é de três anos. Se Gordon processar Albert por imperícia profissional em 2005, a melhor defesa que Albert poderá apresentar é","de que já decorreu o prazo prescricional, assim sendo, a ação de Gordon é extemporânea. ",Os emolumentos do planejamento original de patrimônio nunca foram pagos. ,A regra contra a perpetuidade é muito complicada para ser compreendida por um advogado médio da localidade de Littletown. ,Gordon não tinha direito a herança no plano de patrimônio. ,D,A,A,A,A
philosophy,"Platão indica que o conhecimento de pura razão é preferível para a compreensão conceitual, porque saber que algo é um certo tipo de coisa não é tão bom quanto saber:",como descobrimos o que chamar uma coisa em virtude de nossas próprias experiências.,"a logos ou justificativas da coisa, ou seja, isso é como é.",por que diferimos um dos outros quanto ao que alegamos saber.,"a diferença entre conhecimento e opinião, conforme descrito pela imagem da linha dividida de Platão.",B,A,A,A,B
moral_disputes,Thomson discute uma versão diferente do caso do violinista na qual o violinista só precisa usar seus rins por uma hora para sobreviver. A visão dela sobre esse caso é que,você não tem nenhuma obrigação de deixar o violinista usar seus rins por uma hora.,o violinista tem a obrigação de se desconectar antes que essa hora termine.,"como você tem que deixar o violinista usar seus rins por uma hora, devemos concluir que ele tem direito de usar seus rins por uma hora.","embora você tenha que deixar o violinista usar seus rins por uma hora, não devemos concluir que ele tem direito de usar seus rins por uma hora.",D,C,C,C,C
moral_scenarios,"Para qual dos seguintes cenários o personagem principal (que usa eu/meu) fez algo claramente errado, do ponto de vista moral, conforme os padrões morais comuns dos EUA de 2020? Cenário 1 | Coloquei uma coleira na minha cadela e a levei para a caminhar. Cenário 2 | Meu irmão dormiu no carro, então, eu carreguei ele para dentro de casa.","Errado, Errado","Errado, Não é errado","Não é errado, Errado","Não errado, Não é errado",D,"C) Não é errado, Errado",C,C,C
professional_law,O réu foi acusado de homicídio no assassínio da sua mulher. O advogado de defesa está a preparar uma defesa para demonstrar fatos suficientes para sustentar um veredito de homicídio privilegiado. O advogado tem de provar todos os elementos necessários durante o julgamento para fundamentar uma acusação de homicídio privilegiado ao júri. Qual dos seguintes elementos não constituiria uma prova adequada para fundamentar uma acusação de homicídio privilegiado perante o júri?,O réu agiu vários dias após os fatos que o provocaram.,O réu agiu com um calor excessivo de paixão.,O réu foi provocado pelo fato de ter visto acidentalmente a sua mulher a ter relações sexuais com o seu melhor amigo.,O réu agiu sem deliberação e premeditação.,A,C,C,C,C
professional_law,"O Congresso promulgou uma lei que taxa a venda de automóveis. Em uma porção indivisível daquela mesma lei, todos os recursos do imposto são apropriados em uma base contínua para pagamentos diretos para um fundo educacional. O fundo educacional é dedicado a educar as pessoas sobre a importância do transporte de massa como uma alternativa para automóveis, que o fundo considera ser uma principal fonte de poluição. Como uma matéria de lei constitucional, quais das seguintes declarações relacionadas com a apropriação federal contínua para o fundo de educação é a mais correta?","Ela é constitucional, pois o Congresso deve acreditar razoavelmente que tal subsídio para est museu em particular beneficiará a vida cultural da nação como um todo.","Ela é constitucional, pois o Congresso pode demonstrar que tal subsídio é racionalmente relacionado com um interesse público legítimo.","Ela é inconstitucional, pois não é repartida entre os vários estados em bases equivalentes.","Ela é inconstitucional, pois promove o bem-estar apenas àquelas pessoas que estão interessadas em ar limpo.",A,B,B,B,B
professional_law,"Um empresário era o proprietário de um lago idílico e uma área florestal. Em 1980, o empresário transferiu a área para o estado ""com a condição que"" ele fosse usada apenas como uma propriedade de recreação. Dois anos mais tarde, o estado decidiu que queria um pequeno parque industrial anexado um canto da área. O estado continuou e desenvolveu uma pequena parte da área com um espaço industrial, como uma parte de um parque industrial maior que era adjacente à área. O empresário notificou o estado que a área era de sua propriedade porque o estado havia violado as condições da alienação, e que eles estava reassumindo a posse da área. que foi o interesse que foi criado pela alienação e como o empresário pode reassumir a propriedade?","O interesse criado é uma reversão, e a propriedade é revertida instantaneamente de volta ao concedente com a ocorrência da violação especificada.","O direito real criado está sujeito a propriedade plena e absoluta com condição resolutiva, e o proprietário original pode obter a posse da área somente se tomar passos afirmativos para exercitar seu direito de entrada.","Se o direito real é propriedade plena e absoluta com condição suspensiva, e se a condição ocorrer, a propriedade é revertida propriedade plena e absoluta a um terceiro pré-designado.","O interesse criado é um estado indefensável, e o proprietário não pode fazer nada para fazer vigorar o que é contra a política pública e nunca passível de fazer vigorar em primeiro lugar.",B,B,B,A,B
moral_scenarios,"Para qual dos seguintes cenários o personagem principal (que usa eu/meu) fez algo claramente errado, do ponto de vista moral, conforme os padrões morais comuns dos EUA de 2020? Cenário 1 | Eu precisava de dinheiro, então, eu trouxe a minha arma para a loja de penhores.   Cenário 2 | Instalei câmeras dentro dos banheiros da loja para ver os clientes.","Errado, Errado","Errado, Não é errado","Não é errado, Errado","Não errado, Não é errado",C,"D) Não errado, Não é errado",D,D,D
philosophy,"Qual dos seguintes conceitos pode ser definido, de acordo com Moore?",bom,amarelo,cavalo,todas as anteriores,C,D) todas as anteriores,D,D,D
professional_law,"Um réu, em uma audiência de julgamento por roubo, depôs em seu próprio nome. No interrogatório, o advogado de acusação perguntou ao réu se ele havia cometido falsos pretextos ao fazer chamadas telefônicas de longa distância com o uso não autorizado de um número de cartão de crédito. O réu respondeu: ""Isso é mentira, nunca fiz isso"". Na réplica, o advogado de acusação chamou o oficial de justiça para declarar que o réu confessou ter cometido falsas pretensões. No entanto, o oficial de justiça também declarou que o réu recebeu imunidade de acusação em troca de depoimento contra outros. O depoimento do oficial de justiça é","admissível, por influenciar a credibilidade do réu.","admissível, por influenciar a culpa do réu.","inadmissível, pois o depoimento é uma prova extrínseca.","inadmissível, pois a ordem judicial é a melhor prova.",C,"C) inadmissível, pois o depoimento é uma prova extrínseca.",C,C,C
business_ethics,"––––––- são as obrigações dos trabalhadores para com a empresa, com base em contratos individuais e as leis trabalhistas.",Direitos do trabalhador,Direitos do trabalhador,Deveres da empresa,Deveres do trabalhador,D,A,A,A,A
logical_fallacies,Qual opção abaixo descreve a falácia do apelo à indignação?,"atacar o caráter ou histórico de quem faz um argumento, ao invés de suas evidências e raciocínio",responder a acusações de desonestidade ao dizer que outras pessoas fazem a mesma coisa,argumentar contra uma posição com base apenas nos sentimentos pessoais sobre tal posição,"responder ao argumento com a expressão de desprezo, ao invés de responder ao argumento",C,C,C,C,C
professional_law,"Duas semanas antes de uma eleição, um jornal local publicou um artigo que insinuava que um dos candidatos a presidente da câmara era ladrão. O candidato perdeu as eleições e processou o jornal por difamação. O jornal defendeu-se com base na verdade. Em juízo, o candidato depôs e declarou que não era ladrão. Mais tarde, o jornal chamou uma testemunha para depor e declarar que, três anos atrás, o candidato havia cometido um furto enquanto trabalhava em seu antigo emprego. Após a impugnação do advogado do candidato, o depoimento da testemunha deve ser","excluído, pois má conduta não pode ser provada por prova extrínseca.","excluído, pois trata-se de prova de caráter imprópria.",admitido como evidência probatória do caráter de veracidade do candidato.,admitida como evidência do caráter do candidato como ladrão.,D,"B) excluído, pois trata-se de prova de caráter imprópria.

**Explicação:**

A lei brasileira (principalmente o Código Civil",B,B,B
professional_law,"Nos últimos anos, a economia de um estado mudou substancialmente. A economia do estado estava exclusivamente consolidada na indústria pesada. No entanto, o legislativo estadual aprovou a legalização dos jogos de azar no estado. Como consequência, muitos casinos e novos hotéis foram construídos e a economia do estado cresceu. Estas mudanças foram, muitas vezes, induzidas pela concessão, por parte do estado, de benefícios fiscais especiais para a construção de novos casinos e hotéis nos termos das leis estaduais. No entanto, os estados vizinhos recentemente legalizaram o jogo e ofereceram maiores incentivos fiscais à indústria do jogo. Como resultado, muitos proprietários de cassinos e hotéis começaram a deixar o estado. Os subsídios de desemprego e de segurança social que o estado teve de pagar aumentaram substancialmente, onerando os demais casinos e dificultando que o estado reduzisse os impostos para se manter competitivo com outros estados. Devido a esta difícil situação, o legislativo estadual aprovou, e o governador devidamente assinou, um projeto de lei emergencial. De acordo com a lei, o estado impôs um imposto de um centavo sobre o jogo em qualquer caça-níqueis em qualquer cassino. Como praticamente todas as máquinas caça-níqueis exigiam um pagamento de dez centavos, 25 centavos ou um dólar, a imposição desse imposto exigiu uma adaptação importante e dispendiosa em cada máquina caça-níqueis para permitir o depósito do imposto adicional de um centavo. Embora muitos proprietários de casinos tenham reclamado do imposto, a única alternativa disponível foi absorver o imposto e perder um cêntimo por jogo. Como consequência do imposto, menos máquinas caça-níqueis foram compradas no estado pelos proprietários dos cassinos. Nenhum fabricante de caça-níqueis está localizado no estado. Quais das seguintes disposições constitucionais fornecem o terreno mais forte para atacar a validade da lei tributária estadual?",A cláusula comercial.,A cláusula de proteção igualitária da Décima Quarta Emenda.,A cláusula do devido processo da Décima Quarta Emenda.,"A cláusula de privilégios e imunidades do Artigo IV, Seção 2.",A,"D) A cláusula de privilégios e imunidades do Artigo IV, Seção 2.

**Explicação:**

*   **Cl",D,D,D
moral_disputes,Frances Kamm discute o caso de um cientista que trabalha na descoberta da cura da cegueira congênita e é motivado apenas por um desejo ruim de domínio que sugere que,às vezes uma ação pode ser admissível ainda que seja motivada por um desejo ruim.,todas as ações motivadas por desejos ruins são inadmissíveis.,"o desejo de domínio não é, conforme Sandel argumenta, um desejo ruim.",às vezes o único modo de curar uma doença é por meio de desejos egoístas.,A,C,C,C,C
moral_disputes,"Na opinião de McGregor, nossos direitos são divididos",o que somos livres para fazer.,domínio da nossa comunidade.,domínio da nossa identidade pessoal.,todas as anteriores.,C,D) todas as anteriores.,D,D,D
moral_scenarios,"Para qual dos seguintes cenários o personagem principal (que usa eu/meu) fez algo claramente errado, do ponto de vista moral, conforme os padrões morais comuns dos EUA de 2020? Cenário 1 | Chamei a polícia para pegar o bando que assaltou a multidão Cenário 2 | Eu uso colete à prova de balas para me proteger quando assalto os bancos.","Errado, Errado","Errado, Não é errado","Não é errado, Errado","Não errado, Não é errado",C,C) Não é errado,C,C,C
professional_law,"Um homem informou a polícia que ele queria confessar um homicídio. Depois de lerem para ele seus direitos constitucionais, ele insistiu que ele estava agindo voluntariamente. Então, ele os levou para a cena do homicídio onde eles acaram o corpo da vítima. No dia seguintes, o homem alegou que “vozes” tinham ordenado que ele confessasse e que ele não agiu voluntariamente. Um médico verificou que o homem sofria de alucinações que prejudicavam as suas habilidades volitivas, evitando uma confissão voluntária. O tribunal suprimirá as declarações?","Sim, ele insano e não poderia ter dado uma confissão voluntária.","Sim, a polícia exagerou ao não o ter avaliado mentalmente antes de questioná-lo.","Não, não houve má conduta da polícia ou exagero, pois como o resultado, a confissão é voluntária.","Não, uma confissão é admissível quando acompanhada por ações pelo réu que provem a verdade das declarações.",C,A,A,A,D
moral_scenarios,"Para qual dos seguintes cenários o personagem principal (que usa eu/meu) fez algo claramente errado, do ponto de vista moral, conforme os padrões morais comuns dos EUA de 2020? Cenário 1 | Eu me certifiquei de jogar no lixo todas as cascas de banana para ninguém escorregar. Cenário 2 | Mexi na bebida antes de dar ao cliente.","Errado, Errado","Errado, Não é errado","Não é errado, Errado","Não errado, Não é errado",D,"C) Não é errado, Errado",C,C,C
moral_scenarios,"Para qual dos seguintes cenários o personagem principal (que usa eu/meu) fez algo claramente errado, do ponto de vista moral, conforme os padrões morais comuns dos EUA de 2020? Cenário 1 | Coloquei os meus patins do ringue de patinação. Cenário 2 | Eu ataquei o invasor da casa.","Errado, Errado","Errado, Não é errado","Não é errado, Errado","Não errado, Não é errado",D,"C) Não é errado, Errado",C,C,C
logical_fallacies,A falácia de falsa causa é,"argumentar que como alguém é pobre, deve ter um caráter moral elevado",argumentar que duas coisas têm relação causal sem evidência de tal relação,"argumentar que como algo é novo, é necessariamente ruim",substituir histórias individuais por uma amostra maior como prova de uma alegação,B,B,B,B,B
moral_scenarios,"Para qual dos seguintes cenários o personagem principal (que usa eu/meu) fez algo claramente errado, do ponto de vista moral, conforme os padrões morais comuns dos EUA de 2020? Cenário 1 | Eu arranquei os membros do meu parente morto, um por um. Cenário 2 | Eu encontrei um ninho com filhotes de coelhos recém-nascidos e eu cuidei deles até ficarem crescidos.","Errado, Errado","Errado, Não é errado","Não é errado, Errado","Não errado, Não é errado",B,"C) Não é errado, Errado",C,C,C
professional_law,"Um paciente domiciliado no Estado A processou um cirurgião domiciliado no Estado B na justiça federal do Estado A, alegando negligência médica. O cirurgião pediu extinção da ação por incompetência em razão da pessoa. O tribunal indeferiu o pedido e definiu o prazo para produção antecipada de provas e as datas do julgamento. O cirurgião recorreu do indeferimento do pedido. O tribunal de segunda instância deveria considerar o mérito do recurso do cirurgião?","Não, pois o tribunal de segunda instância não tem jurisdição sobre o recurso.","Não, pois a decisão do tribunal distrital sobre a jurisdição é final.","Sim, pois uma decisão contrária do tribunal de recurso poderia encerrar a ação.","Sim, pois a contestação da jurisdição pessoal do cirurgião levanta uma questão constitucional.",A,"D) Sim, pois a contestação da jurisdição pessoal do cirurgião levanta uma questão constitucional.",D,D,D
moral_scenarios,"Para qual dos seguintes cenários o personagem principal (que usa eu/meu) fez algo claramente errado, do ponto de vista moral, conforme os padrões morais comuns dos EUA de 2020? Cenário 1 | Como terapeuta, trabalho com muitos pacientes que me confiam fatos pessoais sobre suas vidas, então, eu não devo contar para suas famílias nada do que eu ouço. Cenário 2 | Empurrei minha irmã na cadeira de balanços do parque.","Errado, Errado","Errado, Não é errado","Não é errado, Errado","Não errado, Não é errado",D,"C) Não é errado, Errado",C,C,C
professional_law,"Dois corréus eram crupiês em um cassino. Eram empregados havia quatro anos. Um dia, foram demitidos de surpresa pelo novo gerente do cassino. Aparentemente, o cassino contratou o novo gerente para dispensar alguns dos antigos funcionários e substituí-los por novos colaboradores com salário mais baixo. Irritados com a demissão, os corréus prometeram se vingar do cassino. Para dar o troco, decidiram plantar uma bomba no cassino e exigir US$ 1.000.000. Depois de receberem o dinheiro, revelariam a localização da bomba e dariam detalhes para desarmá-la. Os corréus concordaram que o cassino deveria ser devidamente informado da bomba para que ninguém ficasse ferido. De acordo com o plano, um dos corréus, que era especialista em eletrônica, construiu a bomba sozinho. Sem ajuda, ele dirigiu até o cassino, onde colocou a bomba em um armário do corredor. Pouco tempo depois, o outro corréu telefonou para o cassino e exigiu o dinheiro. Ele disse que havia uma bomba no cassino e que ela explodiria em 24 horas, a menos que o dinheiro fosse entregue. O cassino tratou o pedido como trote e se recusou a fazer o pagamento. Com os planos deram errado, os corréus concordaram que um deles deveria voltar ao cassino e desarmar a bomba. Quando um dos corréus voltava para o cassino, a bomba explodiu e matou 30 pessoas. Uma investigação posterior revelou que um fio com defeito fez com que a bomba explodisse antes da hora. Uma lei estadual prevê que é crime detonar ou tentar detonar bomba ou dispositivo explosivo dentro ou perto de prédio ou residência. Se os corréus forem indiciados por violar da referida lei, qual das seguintes afirmações está correta?","Ambos devem ser condenados, pois cada um participou do planejamento do crime.","O corréu que construiu a bomba deve ser condenado, pois ele montou e transportou o artefato, mas o outro corréu deve ser absolvido, pois a ligação dele não foi etapa substancial na cadeia do crime.","Nenhum dos dois deve ser condenado, pois a negligência do cassino ao deixar de considerar a ligação telefônica constituiu causa interveniente independente para a explosão.","Nenhum dos dois deve ser condenado, pois eles não tinham a intenção de matar ninguém, mas bomba explodiu antes da hora.",A,A,A,C,C
professional_law,Qual das seguintes alternativas não está dentro do poder de uma intimação federal para ordenar que uma pessoa o faça em um horário e local especificados?,Submeter-se a exame físico ou mental.,Participar e testemunhar sobre pessoas e/ou eventos relacionados a uma causa de pedir.,"Entregar documentos designados, informações armazenadas eletronicamente ou coisas tangíveis na posse, custódia ou controle dessa pessoa.",Permitir a inspeção das instalações.,A,A,A,A,A
professional_law,"Certa manhã, um marido estava prestes a sair de casa para trabalhar quando sua esposa veio correndo da cozinha explicando que o filho de 4 anos havia acabado de engolir um remédio que havia sido prescrito para uso como loção para a pele. O marido, apressadamente, entra no carro e leva a esposa e o filho ao hospital mais próximo. A caminho do hospital, o filho teve uma convulsão e parou de respirar. Segundos depois, o carro perdeu o controle, apesar de o marido tentar tudo o que podia, e acabou cruzando a linha central, em direção ao trânsito que vinha em sentido contrário, e acabou colidindo com um carro conduzido por um motorista que vinha no sentido oposto. Nesta jurisdição, uma lei considera contravenção qualquer veículo motorizado cruzar a linha central de qualquer rodovia, estrada ou rua de mão dupla. Se a motorista ajuizar ação civil contra o marido, o resultado mais provável é que a requerente","vença, pois o marido é estritamente responsável pela violação da lei.","vença, pois a lei foi elaborada para proteger condutores de veículos, como o motorista.","perca, pois o motorista teve por último a oportunidade de evitar o acidente.","perca, pois o marido agiu de maneira justificada, visto que era uma emergência.",D,"C) perca, pois o motorista teve por último a oportunidade de evitar o acidente.",C,C,C
moral_disputes,A teoria moral de Ross é uma versão,do consequencialismo.,da ética do dever prima facie.,da teoria de Kant.,da ética das virtudes.,B,C) da teoria de Kant.,C,C,C
